METRICS,OLD_METRIC_CLASS,METRIC_CLASS
ABUNDANCE,ABUNDANCE,ABUNDANCE
ASPT_MOD,TOLERANCE,TOLERANCE
BECKS_V1,TOLERANCE,TOLERANCE
BECKS_V3,TOLERANCE,TOLERANCE
EFFECTIVE_RICH_SHANNON,DIVERSITY,DIVERSITY
GOLD,COMPOSITION,COMPOSITION
HBI,TOLERANCE,TOLERANCE
HURLBERTS_PIE,DIVERSITY,DIVERSITY
MARGALEFS,DIVERSITY,DIVERSITY
MENHINICKS,DIVERSITY,DIVERSITY
PCT_AMPHIPODA,COMPOSITION,COMPOSITION
PCT_ANNULIPALPIA,COMPOSITION,COMPOSITION
PCT_ATI,TOLERANCE,TOLERANCE
PCT_BIVALVIA,COMPOSITION,COMPOSITION
PCT_BURROW,HABIT,HABIT
PCT_CC_CHIRONOMIDAE,COMPOSITION,COMPOSITION
PCT_CHIRONOMIDAE,COMPOSITION,COMPOSITION
PCT_CLIMB,HABIT,HABIT
PCT_CLING,HABIT,HABIT
PCT_COLEOPTERA,COMPOSITION,COMPOSITION
PCT_COLLECT,FFG,FFG
PCT_HEXAPODA,COMPOSITION,COMPOSITION
PCT_INSECTA,COMPOSITION,COMPOSITION
PCT_ARTHROPODA,COMPOSITION,COMPOSITION
PCT_CORBICULIDAE,COMPOSITION,COMPOSITION
PCT_COTE,COMPOSITION,COMPOSITION
PCT_DIPTERA,COMPOSITION,COMPOSITION
PCT_DOM1,TOLERANCE,TOLERANCE
PCT_DOM2,TOLERANCE,TOLERANCE
PCT_DOM3,TOLERANCE,TOLERANCE
PCT_DOM4,TOLERANCE,TOLERANCE
PCT_DOM5,TOLERANCE,TOLERANCE
PCT_EPHEMEROPTERA,COMPOSITION,COMPOSITION
PCT_EPHEMEROPTERA_NO_BAETID,COMPOSITION,COMPOSITION
PCT_EPT,COMPOSITION,COMPOSITION
PCT_EPT_CHEUMATIPSYCHE,COMPOSITION,COMPOSITION
PCT_EPT_HYDRO,COMPOSITION,COMPOSITION
PCT_EPT_HYDRO_BAETID,COMPOSITION,COMPOSITION
PCT_EPT_HYDROPSYCHE,COMPOSITION,COMPOSITION
PCT_EPT_RICH,DIVERSITY,DIVERSITY
PCT_EPT_RICH_NO_TOL,DIVERSITY,DIVERSITY
PCT_FILTER,FFG,FFG
PCT_GATHER,FFG,FFG
PCT_HYDRO_EPT,COMPOSITION,COMPOSITION
PCT_HYDRO_TIRCHOPTERA,COMPOSITION,COMPOSITION
PCT_INTOL_0_3,TOLERANCE,TOLERANCE
PCT_INTOL_0_4,TOLERANCE,TOLERANCE
PCT_LIMESTONE,COMPOSITION,COMPOSITION
PCT_MOD_TOL_4_6,TOLERANCE,TOLERANCE
PCT_NON_INSECT,COMPOSITION,COMPOSITION
PCT_ODONATA,COMPOSITION,COMPOSITION
PCT_OLIGO_CHIRO,COMPOSITION,COMPOSITION
PCT_OLIGOCHEATA,COMPOSITION,COMPOSITION
PCT_PLECOPTERA,COMPOSITION,COMPOSITION
PCT_POTEC,COMPOSITION,COMPOSITION
PCT_PREDATOR,FFG,FFG
PCT_SCRAPE,FFG,FFG
PCT_SHRED,FFG,FFG
PCT_SIMULIIDAE,COMPOSITION,COMPOSITION
PCT_SKATE,HABIT,HABIT
PCT_SPRAWL,HABIT,HABIT
PCT_SWIM,HABIT,HABIT
PCT_TANYTARSINI,COMPOSITION,COMPOSITION
PCT_TOLERANT_5_10,TOLERANCE,TOLERANCE
PCT_TOLERANT_7_10,TOLERANCE,TOLERANCE
PCT_TRICHOPTERA,COMPOSITION,COMPOSITION
PCT_UNIONOIDA,COMPOSITION,COMPOSITION
PCT_URBAN_INTOL,TOLERANCE,TOLERANCE
PIELOU,DIVERSITY,DIVERSITY
RICH,DIVERSITY,DIVERSITY
RICH_BURROW,DIVERSITY,HABIT
RICH_CLIMB,DIVERSITY,HABIT
RICH_CLING,DIVERSITY,HABIT
RICH_COLLECT,DIVERSITY,FFG
RICH_EPHEMEROPTERA,DIVERSITY,DIVERSITY
RICH_EPT,DIVERSITY,DIVERSITY
RICH_EPT_NO_TOL,DIVERSITY,DIVERSITY
RICH_FILTER,DIVERSITY,FFG
RICH_GATHER,DIVERSITY,FFG
RICH_INTOL,DIVERSITY,TOLERANCE
RICH_MODTOL,DIVERSITY,TOLERANCE
RICH_PLECOPTERA,DIVERSITY,DIVERSITY
RICH_PREDATOR,DIVERSITY,FFG
RICH_SCRAPE,DIVERSITY,FFG
RICH_SHRED,DIVERSITY,FFG
RICH_SKATE,DIVERSITY,HABIT
RICH_SPRAWL,DIVERSITY,HABIT
RICH_SWIM,DIVERSITY,HABIT
RICH_TOL,DIVERSITY,TOLERANCE
RICH_TRICHOPTERA,DIVERSITY,DIVERSITY
SHANNON,DIVERSITY,DIVERSITY
SIMPSONS,DIVERSITY,DIVERSITY
